FID,osmid,y,x,highway,street_cou,ref
2663,341203466.000000000000000,39.920339400000003,116.401293400000000, ,1.000000000000000, 
2664,341209609.000000000000000,39.910691300000003,116.416694899999996, ,3.000000000000000, 
2665,341209622.000000000000000,39.910183199999999,116.416679599999995, ,3.000000000000000, 
2666,341210050.000000000000000,39.911442200000003,116.425261399999997, ,3.000000000000000, 
2667,341233849.000000000000000,39.896175700000001,116.391380799999993, ,3.000000000000000, 
2668,341237310.000000000000000,39.891278499999999,116.391558700000004, ,3.000000000000000, 
2669,341239567.000000000000000,39.890033199999998,116.391632200000004, ,3.000000000000000, 
2670,341239570.000000000000000,39.896988600000000,116.391327799999999, ,1.000000000000000, 
2671,341242997.000000000000000,39.889495599999997,116.412921100000005, ,3.000000000000000, 
2672,341243424.000000000000000,39.890348500000002,116.415319400000001, ,1.000000000000000, 
2673,342731517.000000000000000,39.944500900000001,116.378587499999995, ,3.000000000000000, 
2674,342732522.000000000000000,39.944322900000003,116.384063499999996, ,1.000000000000000, 
2675,342775907.000000000000000,39.881132700000002,116.454801599999996, ,3.000000000000000, 
2676,342775912.000000000000000,39.876553800000003,116.454741600000006, ,3.000000000000000, 
2677,342776464.000000000000000,39.862648499999999,116.432489399999994, ,3.000000000000000, 
2678,342776465.000000000000000,39.862639600000001,116.435048499999994, ,4.000000000000000, 
2679,342776469.000000000000000,39.862840300000002,116.438882199999995, ,4.000000000000000, 
2680,342780169.000000000000000,39.938060499999999,116.412282700000006, ,1.000000000000000, 
2681,342785816.000000000000000,39.929976600000003,116.366895700000001, ,3.000000000000000, 
2682,342790110.000000000000000,39.910722600000000,116.357119400000002, ,3.000000000000000, 
2683,342790299.000000000000000,39.910688800000003,116.360603600000005, ,3.000000000000000, 
2684,342790300.000000000000000,39.910455599999999,116.360786500000003, ,3.000000000000000, 
2685,342790304.000000000000000,39.910260700000002,116.367682000000002, ,3.000000000000000, 
2686,342791346.000000000000000,39.901428400000000,116.385425299999994, ,3.000000000000000, 
2687,342791876.000000000000000,39.901307899999999,116.381676900000002, ,3.000000000000000, 
2688,342794355.000000000000000,39.899005400000000,116.382236000000006, ,3.000000000000000, 
2689,342794361.000000000000000,39.901344600000002,116.382786800000005, ,3.000000000000000, 
2690,342794544.000000000000000,39.900019800000003,116.373184800000004, ,3.000000000000000, 
2691,342795762.000000000000000,39.904229399999998,116.363540200000003, ,1.000000000000000, 
2692,342796739.000000000000000,39.904161500000001,116.357602200000002, ,3.000000000000000, 
2693,342797515.000000000000000,39.902539400000002,116.362300200000007, ,4.000000000000000, 
2694,342801778.000000000000000,39.917523000000003,116.375230500000001, ,1.000000000000000, 
2695,342803620.000000000000000,39.903736199999997,116.371734200000006, ,3.000000000000000, 
2696,342803624.000000000000000,39.903810999999997,116.375287999999998, ,3.000000000000000, 
2697,342803653.000000000000000,39.902839000000000,116.375216699999996, ,3.000000000000000, 
2698,342803804.000000000000000,39.905628200000002,116.375414800000001, ,3.000000000000000, 
2699,342806276.000000000000000,39.871476500000000,116.397212100000004, ,3.000000000000000, 
2700,342806279.000000000000000,39.871936400000003,116.414904399999998, ,3.000000000000000, 
2701,342811206.000000000000000,39.890323899999999,116.361681500000003, ,3.000000000000000, 
2702,342819177.000000000000000,39.900396200000003,116.385443300000006, ,4.000000000000000, 
2703,342819253.000000000000000,39.900525700000003,116.389700399999995, ,3.000000000000000, 
2704,342820541.000000000000000,39.899962299999999,116.413255100000001, ,3.000000000000000, 
2705,342820719.000000000000000,39.902132100000003,116.414172899999997, ,4.000000000000000, 
2706,342820811.000000000000000,39.903410600000001,116.418412099999998, ,3.000000000000000, 
2707,342821095.000000000000000,39.906981500000001,116.422794100000004, ,3.000000000000000, 
2708,342821878.000000000000000,39.913878699999998,116.367598700000002, ,4.000000000000000, 
2709,342822003.000000000000000,39.913829499999999,116.368643399999996, ,3.000000000000000, 
2710,342822008.000000000000000,39.918049199999999,116.371214300000005, ,3.000000000000000, 
2711,342822139.000000000000000,39.917655199999999,116.374902700000007, ,1.000000000000000, 
2712,342823625.000000000000000,39.910918100000004,116.371610599999997, ,3.000000000000000, 
2713,342827519.000000000000000,39.930184900000000,116.370788000000005, ,3.000000000000000, 
2714,342828425.000000000000000,39.928573900000004,116.367590000000007, ,1.000000000000000, 
2715,342828550.000000000000000,39.927816800000002,116.370889000000005, ,3.000000000000000, 
2716,342828710.000000000000000,39.927844299999997,116.369091699999998, ,3.000000000000000, 
2717,342828746.000000000000000,39.926285800000002,116.369100700000004, ,3.000000000000000, 
2718,342829121.000000000000000,39.926098000000003,116.367108299999998, ,3.000000000000000, 
2719,342835768.000000000000000,39.931568499999997,116.375750100000005, ,3.000000000000000, 
2720,342835769.000000000000000,39.931350299999998,116.370746800000006,traffic_signals,4.000000000000000, 
2721,342836138.000000000000000,39.932076700000003,116.390096900000003,traffic_signals,4.000000000000000, 
2722,342836730.000000000000000,39.931788900000001,116.378421900000006, ,3.000000000000000, 
2723,342836797.000000000000000,39.931692300000002,116.375218399999994, ,3.000000000000000, 
2724,342836968.000000000000000,39.931506200000001,116.373820600000002,traffic_signals,5.000000000000000, 
2725,342837357.000000000000000,39.931989799999997,116.394173499999994, ,3.000000000000000, 
2726,342837927.000000000000000,39.931395299999998,116.398005699999999, ,1.000000000000000, 
2727,342837974.000000000000000,39.930928700000003,116.395238000000006, ,3.000000000000000, 
2728,342838205.000000000000000,39.931032000000002,116.399601200000006, ,3.000000000000000, 
2729,342838703.000000000000000,39.931073400000002,116.396340899999998, ,3.000000000000000, 
2730,342845671.000000000000000,39.891368000000000,116.373518099999998, ,1.000000000000000, 
2731,342943532.000000000000000,39.881983900000002,116.347377899999998,traffic_signals,4.000000000000000, 
2732,342945765.000000000000000,39.896445399999998,116.346733900000004,traffic_signals,4.000000000000000, 
2733,342951403.000000000000000,39.881976500000000,116.357330700000006,traffic_signals,4.000000000000000, 
2734,342952896.000000000000000,39.905672199999998,116.367973500000005,traffic_signals,4.000000000000000, 
2735,342952910.000000000000000,39.898099000000002,116.368325499999997,traffic_signals,4.000000000000000, 
2736,342956399.000000000000000,39.894861499999998,116.357130499999997,traffic_signals,4.000000000000000, 
2737,342961666.000000000000000,39.898433599999997,116.368270999999993,traffic_signals,4.000000000000000, 
2738,342963014.000000000000000,39.917151500000003,116.350464700000003,traffic_signals,5.000000000000000, 
2739,342965822.000000000000000,39.926930900000002,116.358375199999998, ,1.000000000000000, 
2740,342966364.000000000000000,39.926858299999999,116.355279999999993, ,1.000000000000000, 
2741,343091958.000000000000000,39.925820399999999,116.400404100000003, ,4.000000000000000, 
2742,343318089.000000000000000,39.867400600000003,116.276247299999994, ,3.000000000000000, 
2743,343318149.000000000000000,39.868051299999998,116.275102000000004, ,3.000000000000000, 
2744,343318153.000000000000000,39.865876600000000,116.276275900000002, ,3.000000000000000, 
2745,343318162.000000000000000,39.857944099999997,116.276662900000005,traffic_signals,3.000000000000000, 
2746,343318165.000000000000000,39.852212100000003,116.277058600000004, ,3.000000000000000, 
2747,343318174.000000000000000,39.852244700000000,116.277589100000000, ,3.000000000000000, 
2748,343318311.000000000000000,39.864958600000001,116.275870299999994, ,3.000000000000000, 
2749,343318313.000000000000000,39.864202700000000,116.275060800000006, ,3.000000000000000, 
2750,343318319.000000000000000,39.864541799999998,116.261474399999997, ,4.000000000000000, 
2751,343318321.000000000000000,39.865260800000001,116.258497800000001, ,4.000000000000000, 
2752,343318462.000000000000000,39.874749799999996,116.270912100000004, ,3.000000000000000, 
2753,343318771.000000000000000,39.874958300000003,116.273460999999998, ,3.000000000000000, 
2754,343318776.000000000000000,39.875553600000003,116.271906200000004, ,3.000000000000000, 
2755,343318895.000000000000000,39.848551299999997,116.277480299999993, ,3.000000000000000, 
2756,343318900.000000000000000,39.862048299999998,116.277153700000000, ,3.000000000000000, 
2757,343318924.000000000000000,39.863089299999999,116.278781400000000, ,3.000000000000000, 
2758,343318943.000000000000000,39.863639399999997,116.275870699999999, ,3.000000000000000, 
2759,343319005.000000000000000,39.863880199999997,116.270366199999998, ,4.000000000000000, 
2760,343319025.000000000000000,39.861470300000001,116.277320500000002, ,3.000000000000000, 
2761,343319291.000000000000000,39.868037100000002,116.275336100000004, ,3.000000000000000, 
2762,343319651.000000000000000,39.864668100000003,116.278498499999998, ,3.000000000000000, 
2763,343320123.000000000000000,39.864410300000003,116.280637299999995, ,3.000000000000000, 
2764,343335096.000000000000000,39.979039899999997,116.483783000000003, ,4.000000000000000, 
2765,343335098.000000000000000,39.971165499999998,116.483813600000005, ,4.000000000000000, 
2766,343335099.000000000000000,39.969946100000001,116.483829999999998, ,3.000000000000000, 
2767,343335393.000000000000000,39.987787200000000,116.482025800000002,traffic_signals,4.000000000000000, 
2768,343337860.000000000000000,39.939370500000003,116.535635799999994, ,3.000000000000000, 
2769,343337930.000000000000000,39.946485899999999,116.531258699999995, ,3.000000000000000, 
2770,343337933.000000000000000,39.943648099999997,116.534274999999994, ,3.000000000000000, 
2771,343338242.000000000000000,39.936191500000000,116.536612700000006, ,3.000000000000000, 
2772,343338406.000000000000000,39.938109099999998,116.527052600000005, ,4.000000000000000, 
2773,343437020.000000000000000,39.883168300000001,116.444767499999998, ,3.000000000000000, 
2774,343437041.000000000000000,39.883095099999998,116.450036400000002,traffic_signals,4.000000000000000, 
2775,343437148.000000000000000,39.883018399999997,116.454838400000000,traffic_signals,4.000000000000000, 
2776,343437149.000000000000000,39.883012600000001,116.455392300000000,traffic_signals,4.000000000000000, 
2777,343437840.000000000000000,39.882989299999998,116.434194500000004,traffic_signals,4.000000000000000, 
2778,343438113.000000000000000,39.882565399999997,116.418857900000006,traffic_signals,4.000000000000000, 
2779,343438276.000000000000000,39.882438000000000,116.414524799999995,traffic_signals,3.000000000000000, 
2780,343438280.000000000000000,39.882444200000002,116.414681999999999,traffic_signals,4.000000000000000, 
2781,343438524.000000000000000,39.882741299999999,116.422166099999998, ,3.000000000000000, 
2782,345589058.000000000000000,39.920192999999998,116.446649800000003, ,3.000000000000000, 
2783,345589069.000000000000000,39.918887300000002,116.451699800000000,traffic_signals,4.000000000000000, 
2784,345589071.000000000000000,39.917989900000002,116.455186900000001,traffic_signals,4.000000000000000, 
2785,345589075.000000000000000,39.917802999999999,116.455716499999994,traffic_signals,4.000000000000000, 
2786,345589085.000000000000000,39.915198400000001,116.463486300000000,traffic_signals,4.000000000000000, 
2787,345589595.000000000000000,39.914605600000002,116.466389100000001,traffic_signals,4.000000000000000, 
2788,345589597.000000000000000,39.914281000000003,116.471915499999994,traffic_signals,4.000000000000000, 
2789,345589965.000000000000000,39.914176099999999,116.475502300000002,traffic_signals,4.000000000000000, 
2790,345589969.000000000000000,39.914150399999997,116.478668700000000,traffic_signals,4.000000000000000, 
2791,345590321.000000000000000,39.914180899999998,116.481983000000000, ,3.000000000000000, 
2792,345591833.000000000000000,39.855513799999997,116.388033399999998, ,3.000000000000000, 
2793,345591834.000000000000000,39.855614199999998,116.389099500000000, ,3.000000000000000, 
2794,345591899.000000000000000,39.855582099999999,116.395011999999994, ,3.000000000000000, 
2795,345592559.000000000000000,39.871729799999997,116.407165199999994,traffic_signals,4.000000000000000, 
2796,345592569.000000000000000,39.870420000000003,116.407243500000007, ,4.000000000000000, 
